ID  MINE    VEL   DIFF   DUR    GROUP_ID
147  Saccade   213.0   212.7  50.0  7
148  Saccade   248.5   35.5  50.0  7
149  Saccade   143.4   -105.1  50.0  7
150  Fixation   8.2   -135.1  166.0  8
151  Fixation   7.3   -0.9  166.0  8
152  Fixation   2.3   -5.1  166.0  8
153  Fixation   7.1   4.8  166.0  8
154  Fixation   3.5   -3.5  166.0  8
155  Fixation   1.2   -2.3  166.0  8
156  Fixation   0.7   -0.6  166.0  8
157  Fixation   17.4   16.8  166.0  8
158  Fixation   0.0   -17.4  166.0  8
159  Fixation   8.0   8.0  166.0  8
160  Saccade   62.0   54.0  34.0  8
161  Saccade   107.8   45.8  34.0  8
162  Fixation   1.2   -106.6  133.0  9
163  Fixation   2.6   1.4  133.0  9
164  Fixation   5.7   3.1  133.0  9
165  Fixation   1.4   -4.3  133.0  9
166  Fixation   9.2   7.8  133.0  9
167  Fixation   0.3   -8.9  133.0  9
168  Fixation   1.9   1.6  133.0  9
169  Fixation   7.4   5.5  133.0  9
170  Saccade   55.0   47.6  17.0  9
171  Fixation   2.9   -52.1  66.0  10
172  Fixation   10.2   7.3  66.0  10
173  Fixation   2.0   -8.2  66.0  10
174  Fixation   3.1   1.1  66.0  10
175  Saccade   213.4   210.2  100.0  10
176  Saccade   327.9   114.6  100.0  10
177  Saccade   292.1   -35.8  100.0  10
178  Saccade   290.3   -1.9  100.0  10
179  Saccade   243.4   -46.9  100.0  10
180  Saccade   205.1   -38.3  100.0  10
181  Fixation   17.0   -188.1  134.0  11
182  Fixation   14.2   -2.8  134.0  11
183  Fixation   3.3   -10.9  134.0  11
184  Fixation   10.5   7.2  134.0  11
185  Fixation   6.7   -3.8  134.0  11
186  Fixation   5.7   -1.1  134.0  11
187  Fixation   0.0   -5.7  134.0  11
188  Fixation   0.0   0.0  134.0  11
189  Saccade   82.0   82.0  33.0  11
190  Saccade   40.8   -41.3  33.0  11
191  Fixation   0.0   -40.8  400.0  12
192  Fixation   1.9   1.9  400.0  12
193  Fixation   5.8   3.9  400.0  12
194  Fixation   0.0   -5.8  400.0  12
195  Fixation   4.3   4.3  400.0  12
196  Fixation   3.2   -1.0  400.0  12
197  Fixation   0.7   -2.6  400.0  12
198  Fixation   6.8   6.1  400.0  12
199  Fixation   0.0   -6.8  400.0  12
200  Fixation   3.6   3.6  400.0  12
201  Fixation   1.6   -2.0  400.0  12
202  Fixation   20.9   19.3  400.0  12
203  Fixation   7.3   -13.5  400.0  12
204  Fixation   6.6   -0.7  400.0  12
205  Fixation   6.9   0.3  400.0  12
206  Fixation   9.9   3.0  400.0  12
207  Fixation   8.7   -1.3  400.0  12
