ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
115  Fixation  Fixation  9.3   6.2  700.0  3
116  Fixation  Fixation  17.4   8.1  700.0  3
117  Fixation  Fixation  14.1   -3.3  700.0  3
118  Fixation  Fixation  9.0   -5.1  700.0  3
119  Fixation  Fixation  15.1   6.2  700.0  3
120  Fixation  Fixation  10.7   -4.4  700.0  3
121  Fixation  Fixation  11.2   0.4  700.0  3
122  Fixation  Fixation  6.4   -4.8  700.0  3
123  Fixation  Fixation  4.1   -2.3  700.0  3
124  Fixation  Fixation  5.0   0.9  700.0  3
125  Fixation  Fixation  11.9   6.9  700.0  3
126  Fixation  Fixation  1.9   -10.0  700.0  3
127  Fixation  Fixation  4.4   2.5  700.0  3
128  Fixation  Fixation  7.8   3.4  700.0  3
129  Fixation  Fixation  15.6   7.8  700.0  3
130  Fixation  Fixation  27.8   12.2  700.0  3
131  Fixation  Fixation  25.9   -1.9  700.0  3
132  Fixation  Fixation  15.6   -10.4  700.0  3
133  Fixation  Fixation  10.6   -5.0  700.0  3
134  Fixation  Fixation  14.5   4.0  700.0  3
135  Fixation  Fixation  24.6   10.1  700.0  3
136  Fixation  Fixation  20.4   -4.2  700.0  3
137  Fixation  Fixation  16.6   -3.8  700.0  3
138  Fixation  Fixation  9.3   -7.3  700.0  3
139  Fixation  Fixation  4.2   -5.1  700.0  3
140  Fixation  Fixation  9.5   5.3  700.0  3
141  Fixation  Fixation  15.7   6.2  700.0  3
142  Fixation  Fixation  12.1   -3.6  700.0  3
143  Fixation  Fixation  24.4   12.4  700.0  3
144  Saccade  Saccade  84.6   60.1  33.0  4
145  Saccade  Saccade  31.7   -52.9  33.0  4
146  Fixation  Fixation  11.5   -20.2  183.0  4
147  Fixation  Fixation  4.7   -6.9  183.0  4
148  Fixation  Fixation  2.8   -1.9  183.0  4
149  Fixation  Fixation  11.0   8.2  183.0  4
150  Fixation  Fixation  4.8   -6.2  183.0  4
151  Fixation  Fixation  17.3   12.4  183.0  4
152  Fixation  Fixation  8.1   -9.2  183.0  4
153  Fixation  Fixation  20.1   12.0  183.0  4
154  Fixation  Fixation  8.4   -11.7  183.0  4
155  Fixation  Fixation  6.9   -1.5  183.0  4
156  Fixation  Fixation  5.6   -1.4  183.0  4
157  EyesNotFound  EyesNotFound  nan   nan  100.0  2
158  EyesNotFound  EyesNotFound  nan   nan  100.0  2
159  EyesNotFound  EyesNotFound  nan   nan  100.0  2
160  EyesNotFound  EyesNotFound  nan   nan  100.0  2
161  EyesNotFound  EyesNotFound  nan   nan  100.0  2
162  EyesNotFound  EyesNotFound  nan   nan  100.0  2
163  Saccade  Saccade  nan   nan  50.0  5
164  Saccade  Saccade  531.2   nan  50.0  5
165  Saccade  Saccade  55.1   -476.0  50.0  5
166  Fixation  Saccade  29.9   -25.2  217.0  5            <----------------------------
167  Fixation  Fixation  3.9   -26.1  217.0  5
168  Fixation  Fixation  12.8   9.0  217.0  5
169  Fixation  Fixation  12.8   -0.0  217.0  5
170  Fixation  Fixation  0.7   -12.1  217.0  5
171  Fixation  Fixation  10.8   10.1  217.0  5
172  Fixation  Fixation  2.9   -7.8  217.0  5
173  Fixation  Fixation  5.7   2.8  217.0  5
174  Fixation  Fixation  8.5   2.8  217.0  5
175  Fixation  Fixation  2.6   -5.9  217.0  5
176  Fixation  Fixation  19.3   16.6  217.0  5
177  Fixation  Fixation  9.2   -10.1  217.0  5
178  Fixation  Fixation  21.7   12.5  217.0  5
179  Saccade  Saccade  75.7   54.0  33.0  6
180  Saccade  Saccade  52.0   -23.7  33.0  6
181  Fixation  Fixation  20.0   -32.1  2234.0  6
182  Fixation  Fixation  10.0   -9.9  2234.0  6
183  Fixation  Fixation  3.8   -6.3  2234.0  6
184  Fixation  Fixation  20.0   16.3  2234.0  6
185  Fixation  Fixation  24.0   4.0  2234.0  6
186  Fixation  Fixation  10.4   -13.6  2234.0  6
187  Fixation  Fixation  10.2   -0.2  2234.0  6
188  Fixation  Fixation  19.7   9.4  2234.0  6
189  Fixation  Fixation  3.0   -16.7  2234.0  6
190  Fixation  Fixation  16.5   13.6  2234.0  6
191  Fixation  Fixation  17.2   0.6  2234.0  6
192  Fixation  Fixation  25.7   8.6  2234.0  6
193  Fixation  Fixation  6.4   -19.4  2234.0  6
194  Fixation  Fixation  24.3   17.9  2234.0  6
195  Fixation  Fixation  11.9   -12.3  2234.0  6
196  Fixation  Fixation  20.4   8.5  2234.0  6
197  Fixation  Fixation  10.3   -10.1  2234.0  6
198  Fixation  Fixation  10.2   -0.1  2234.0  6
199  Fixation  Fixation  14.6   4.4  2234.0  6
200  Fixation  Fixation  1.8   -12.8  2234.0  6
201  Fixation  Fixation  3.1   1.3  2234.0  6
202  Fixation  Fixation  7.5   4.4  2234.0  6
203  Fixation  Fixation  10.0   2.6  2234.0  6
204  Fixation  Fixation  12.0   2.0  2234.0  6
205  Fixation  Fixation  6.5   -5.5  2234.0  6
206  Fixation  Fixation  18.2   11.7  2234.0  6
207  Fixation  Fixation  25.5   7.3  2234.0  6
208  Fixation  Fixation  2.4   -23.2  2234.0  6
209  Fixation  Fixation  2.7   0.3  2234.0  6
210  Fixation  Fixation  8.5   5.8  2234.0  6
211  Fixation  Fixation  11.8   3.3  2234.0  6
212  Fixation  Fixation  11.5   -0.3  2234.0  6
213  Fixation  Fixation  23.9   12.4  2234.0  6
214  Fixation  Fixation  4.9   -19.0  2234.0  6
215  Fixation  Fixation  7.6   2.8  2234.0  6
216  Fixation  Fixation  8.7   1.0  2234.0  6
217  Fixation  Fixation  2.8   -5.9  2234.0  6
218  Fixation  Fixation  2.0   -0.8  2234.0  6
219  Fixation  Fixation  8.2   6.2  2234.0  6
220  Fixation  Fixation  14.1   5.9  2234.0  6
221  Fixation  Fixation  5.2   -8.9  2234.0  6
222  Fixation  Fixation  7.2   2.0  2234.0  6
223  Fixation  Fixation  12.5   5.3  2234.0  6
224  Fixation  Fixation  7.3   -5.2  2234.0  6
