ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
0  Fixation  Fixation  nan   nan  100.0  1
1  Fixation  Fixation  29.1   nan  100.0  1
2  Fixation  Fixation  23.5   -5.6  100.0  1
3  Fixation  Fixation  7.0   -16.6  100.0  1
4  Fixation  Fixation  27.0   20.0  100.0  1
5  Fixation  Fixation  14.9   -12.1  100.0  1
6  Saccade  Saccade  240.6   225.7  50.0  1
7  Saccade  Saccade  166.0   -74.7  50.0  1
8  Saccade  Saccade  30.8   -135.2  50.0  1
9  Fixation  Fixation  9.9   -20.9  500.0  2
10  Fixation  Fixation  9.3   -0.6  500.0  2
11  Fixation  Fixation  10.5   1.2  500.0  2
12  Fixation  Fixation  22.9   12.5  500.0  2
13  Fixation  Fixation  0.9   -22.1  500.0  2
14  Fixation  Fixation  6.7   5.8  500.0  2
15  Fixation  Fixation  6.4   -0.3  500.0  2
16  Fixation  Fixation  4.1   -2.2  500.0  2
17  Fixation  Fixation  4.0   -0.1  500.0  2
18  Fixation  Fixation  8.2   4.1  500.0  2
19  Fixation  Fixation  4.3   -3.9  500.0  2
20  Fixation  Fixation  5.2   0.9  500.0  2
21  Fixation  Fixation  7.3   2.1  500.0  2
22  Fixation  Fixation  11.7   4.4  500.0  2
23  Fixation  Fixation  3.6   -8.1  500.0  2
24  Fixation  Fixation  0.7   -2.9  500.0  2
25  Fixation  Fixation  2.8   2.1  500.0  2
26  Fixation  Fixation  5.6   2.8  500.0  2
27  Fixation  Fixation  6.3   0.7  500.0  2
28  Fixation  Fixation  18.5   12.2  500.0  2
29  Fixation  Fixation  20.7   2.1  500.0  2
30  Fixation  Fixation  13.8   -6.8  500.0  2
31  Fixation  Fixation  8.9   -4.9  500.0  2
32  Fixation  Fixation  11.0   2.1  500.0  2
33  Fixation  Fixation  11.2   0.2  500.0  2
34  Fixation  Fixation  2.2   -9.0  500.0  2
35  Fixation  Fixation  10.9   8.6  500.0  2
36  Fixation  Fixation  8.1   -2.7  500.0  2
37  Fixation  Fixation  12.2   4.0  500.0  2
