ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
119  Fixation  Fixation  6.2   5.6  534.0  3
120  Fixation  Fixation  4.6   -1.6  534.0  3
121  Fixation  Fixation  5.4   0.8  534.0  3
122  Fixation  Fixation  1.4   -4.0  534.0  3
123  Fixation  Fixation  3.3   1.8  534.0  3
124  Fixation  Fixation  3.9   0.7  534.0  3
125  Fixation  Fixation  11.3   7.4  534.0  3
126  Fixation  Fixation  0.2   -11.1  534.0  3
127  Fixation  Fixation  3.5   3.3  534.0  3
128  Fixation  Fixation  5.5   1.9  534.0  3
129  Fixation  Fixation  2.2   -3.3  534.0  3
130  Fixation  Fixation  12.3   10.1  534.0  3
131  Fixation  Fixation  15.2   2.9  534.0  3
132  Fixation  Fixation  7.6   -7.6  534.0  3
133  Fixation  Fixation  9.1   1.5  534.0  3
134  Fixation  Fixation  7.8   -1.3  534.0  3
135  Fixation  Fixation  11.2   3.4  534.0  3
136  Fixation  Fixation  13.0   1.8  534.0  3
137  Fixation  Fixation  10.3   -2.7  534.0  3
138  Fixation  Fixation  4.0   -6.3  534.0  3
139  Fixation  Fixation  0.6   -3.3  534.0  3
140  Fixation  Fixation  2.3   1.7  534.0  3
141  Fixation  Fixation  4.1   1.8  534.0  3
142  Fixation  Fixation  3.5   -0.6  534.0  3
143  Fixation  Fixation  15.3   11.8  534.0  3
144  Saccade  Saccade  84.6   69.2  16.0  2
145  Fixation  Fixation  24.5   -60.0  150.0  4
146  Fixation  Fixation  5.4   -19.2  150.0  4
147  Fixation  Fixation  1.5   -3.9  150.0  4
148  Fixation  Fixation  1.2   -0.3  150.0  4
149  Fixation  Fixation  4.3   3.1  150.0  4
150  Fixation  Fixation  4.4   0.1  150.0  4
151  Fixation  Fixation  6.6   2.2  150.0  4
152  Fixation  Fixation  1.1   -5.5  150.0  4
153  Fixation  Fixation  16.9   15.8  150.0  4
154  Blink  Blink  3.3   -13.6  334.0  2
155  Blink  Blink  3.8   0.5  334.0  2
156  Blink  Blink  1.6   -2.2  334.0  2
157  Blink  Blink  nan   nan  334.0  2
158  Blink  Blink  nan   nan  334.0  2
159  Blink  Blink  nan   nan  334.0  2
160  Blink  Blink  nan   nan  334.0  2
161  Blink  Blink  nan   nan  334.0  2
162  Blink  Blink  nan   nan  334.0  2
163  Blink  Blink  nan   nan  334.0  2
164  Blink  Blink  531.8   nan  334.0  2
165  Blink  Blink  23.4   -508.4  334.0  2
166  Blink  Blink  3.8   -19.6  334.0  2
167  Blink  Blink  1.3   -2.5  334.0  2
168  Blink  Blink  12.4   11.1  334.0  2
169  Blink  Blink  12.5   0.1  334.0  2
170  Blink  Blink  0.7   -11.8  334.0  2
171  Blink  Blink  10.0   9.3  334.0  2
172  Blink  Blink  0.6   -9.4  334.0  2
173  Blink  Blink  1.0   0.4  334.0  2
174  Fixation  Fixation  1.8   0.8  83.0  5
175  Fixation  Fixation  2.9   1.1  83.0  5
176  Fixation  Fixation  13.7   10.8  83.0  5
177  Fixation  Fixation  5.9   -7.7  83.0  5
178  Fixation  Fixation  20.9   15.0  83.0  5
179  Saccade  Saccade  75.8   54.8  33.0  3
180  Saccade  Saccade  32.1   -43.7  33.0  3
181  Fixation  Fixation  5.8   -26.3  2234.0  6
182  Fixation  Fixation  3.3   -2.5  2234.0  6
183  Fixation  Fixation  0.2   -3.1  2234.0  6
184  Fixation  Fixation  5.0   4.8  2234.0  6
185  Fixation  Fixation  4.5   -0.5  2234.0  6
186  Fixation  Fixation  4.9   0.4  2234.0  6
187  Fixation  Fixation  6.4   1.6  2234.0  6
188  Fixation  Fixation  14.3   7.8  2234.0  6
189  Fixation  Fixation  1.0   -13.3  2234.0  6
190  Fixation  Fixation  0.0   -0.9  2234.0  6
191  Fixation  Fixation  12.6   12.5  2234.0  6
192  Fixation  Fixation  13.5   1.0  2234.0  6
193  Fixation  Fixation  6.8   -6.7  2234.0  6
194  Fixation  Fixation  7.2   0.4  2234.0  6
195  Fixation  Fixation  11.7   4.5  2234.0  6
196  Fixation  Fixation  1.5   -10.2  2234.0  6
197  Fixation  Fixation  1.8   0.3  2234.0  6
198  Fixation  Fixation  0.7   -1.1  2234.0  6
199  Fixation  Fixation  3.1   2.4  2234.0  6
200  Fixation  Fixation  0.3   -2.8  2234.0  6
201  Fixation  Fixation  2.9   2.6  2234.0  6
202  Fixation  Fixation  3.6   0.8  2234.0  6
203  Fixation  Fixation  4.9   1.2  2234.0  6
204  Fixation  Fixation  7.6   2.7  2234.0  6
205  Fixation  Fixation  3.3   -4.3  2234.0  6
206  Fixation  Fixation  16.6   13.3  2234.0  6
207  Fixation  Fixation  24.0   7.4  2234.0  6
208  Fixation  Fixation  2.4   -21.6  2234.0  6
209  Fixation  Fixation  2.3   -0.1  2234.0  6
210  Fixation  Fixation  7.2   5.0  2234.0  6
211  Fixation  Fixation  11.9   4.6  2234.0  6
212  Fixation  Fixation  0.4   -11.5  2234.0  6
213  Fixation  Fixation  12.4   11.9  2234.0  6
214  Fixation  Fixation  0.8   -11.5  2234.0  6
215  Fixation  Fixation  3.1   2.3  2234.0  6
216  Fixation  Fixation  8.7   5.6  2234.0  6
217  Fixation  Fixation  1.1   -7.6  2234.0  6
218  Fixation  Fixation  0.0   -1.1  2234.0  6
219  Fixation  Fixation  4.1   4.1  2234.0  6
220  Fixation  Fixation  11.4   7.3  2234.0  6
221  Fixation  Fixation  4.8   -6.7  2234.0  6
222  Fixation  Fixation  1.1   -3.7  2234.0  6
223  Fixation  Fixation  12.4   11.4  2234.0  6
224  Fixation  Fixation  4.3   -8.1  2234.0  6
225  Fixation  Fixation  1.5   -2.8  2234.0  6
226  Fixation  Fixation  1.6   0.1  2234.0  6
227  Fixation  Fixation  1.0   -0.6  2234.0  6
