ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
120  Fixation  Fixation  0.5   -4.7  1750.0  4
121  Fixation  Fixation  7.4   6.8  1750.0  4
122  Fixation  Fixation  5.1   -2.3  1750.0  4
123  Fixation  Fixation  6.7   1.6  1750.0  4
124  Fixation  Fixation  7.1   0.4  1750.0  4
125  Fixation  Fixation  4.7   -2.3  1750.0  4
126  Fixation  Fixation  3.2   -1.5  1750.0  4
127  Fixation  Fixation  3.8   0.6  1750.0  4
128  Fixation  Fixation  2.1   -1.7  1750.0  4
129  Fixation  Fixation  0.1   -1.9  1750.0  4
130  Fixation  Fixation  1.3   1.2  1750.0  4
131  Fixation  Fixation  5.9   4.6  1750.0  4
132  Fixation  Fixation  0.7   -5.3  1750.0  4
133  Fixation  Fixation  0.0   -0.7  1750.0  4
134  Fixation  Fixation  7.4   7.4  1750.0  4
135  Fixation  Fixation  1.7   -5.8  1750.0  4
136  Fixation  Fixation  13.9   12.2  1750.0  4
137  Fixation  Fixation  0.1   -13.8  1750.0  4
138  Fixation  Fixation  5.5   5.4  1750.0  4
139  Fixation  Fixation  0.0   -5.5  1750.0  4
140  Fixation  Fixation  3.8   3.8  1750.0  4
141  Fixation  Fixation  2.0   -1.9  1750.0  4
142  Fixation  Fixation  6.5   4.5  1750.0  4
143  Fixation  Fixation  3.0   -3.5  1750.0  4
144  Fixation  Fixation  3.0   0.0  1750.0  4
145  Fixation  Fixation  6.7   3.7  1750.0  4
146  Fixation  Fixation  4.0   -2.7  1750.0  4
147  Fixation  Fixation  6.6   2.6  1750.0  4
148  Fixation  Fixation  1.8   -4.8  1750.0  4
149  Fixation  Fixation  0.0   -1.8  1750.0  4
150  Fixation  Fixation  16.0   16.0  1750.0  4
151  Fixation  Fixation  7.6   -8.5  1750.0  4
152  Fixation  Fixation  11.5   4.0  1750.0  4
153  Fixation  Fixation  9.6   -1.9  1750.0  4
154  Fixation  Fixation  11.4   1.8  1750.0  4
155  Fixation  Fixation  8.2   -3.2  1750.0  4
156  Fixation  Fixation  9.4   1.3  1750.0  4
157  Fixation  Fixation  6.0   -3.4  1750.0  4
158  Fixation  Fixation  5.1   -0.9  1750.0  4
159  Fixation  Fixation  1.8   -3.3  1750.0  4
160  Fixation  Fixation  3.3   1.5  1750.0  4
161  Fixation  Fixation  0.0   -3.3  1750.0  4
162  Fixation  Fixation  8.2   8.2  1750.0  4
163  Fixation  Fixation  4.3   -4.0  1750.0  4
164  Fixation  Fixation  7.4   3.1  1750.0  4
165  Fixation  Fixation  3.7   -3.6  1750.0  4
166  Fixation  Fixation  12.8   9.1  1750.0  4
167  Fixation  Fixation  0.0   -12.8  1750.0  4
168  Fixation  Fixation  4.6   4.6  1750.0  4
169  Fixation  Fixation  8.4   3.8  1750.0  4
170  Fixation  Fixation  0.8   -7.6  1750.0  4
171  Fixation  Fixation  7.9   7.1  1750.0  4
172  Fixation  Fixation  3.1   -4.8  1750.0  4
173  Fixation  Fixation  1.9   -1.2  1750.0  4
174  Fixation  Fixation  3.4   1.6  1750.0  4
175  Fixation  Fixation  1.9   -1.5  1750.0  4
176  Fixation  Fixation  0.0   -1.9  1750.0  4
177  Fixation  Fixation  6.2   6.2  1750.0  4
178  Fixation  Fixation  4.5   -1.7  1750.0  4
179  Fixation  Fixation  4.8   0.2  1750.0  4
180  Fixation  Fixation  6.1   1.3  1750.0  4
181  Fixation  Fixation  5.8   -0.2  1750.0  4
182  Fixation  Fixation  5.0   -0.8  1750.0  4
183  Fixation  Fixation  2.5   -2.5  1750.0  4
184  Fixation  Fixation  9.8   7.2  1750.0  4
185  Fixation  Fixation  2.3   -7.5  1750.0  4
186  Fixation  Fixation  0.1   -2.2  1750.0  4
187  Fixation  Fixation  5.6   5.5  1750.0  4
188  Fixation  Fixation  0.0   -5.6  1750.0  4
189  Fixation  Fixation  5.8   5.8  1750.0  4
190  Fixation  Fixation  23.8   18.0  1750.0  4
191  Fixation  Fixation  16.4   -7.4  1750.0  4
192  Fixation  Fixation  7.2   -9.3  1750.0  4
193  Fixation  Fixation  10.3   3.2  1750.0  4
194  Fixation  Fixation  9.3   -1.0  1750.0  4
195  Fixation  Fixation  4.1   -5.2  1750.0  4
196  Fixation  Fixation  3.4   -0.7  1750.0  4
197  Fixation  Fixation  8.6   5.1  1750.0  4
198  Fixation  Fixation  5.8   -2.7  1750.0  4
199  Fixation  Fixation  1.5   -4.4  1750.0  4
200  Fixation  Fixation  10.1   8.6  1750.0  4
201  Fixation  Fixation  4.7   -5.4  1750.0  4
202  Fixation  Fixation  9.5   4.9  1750.0  4
203  Fixation  Fixation  4.4   -5.1  1750.0  4
204  Fixation  Fixation  5.9   1.5  1750.0  4
205  Saccade  Saccade  32.4   26.5  17.0  4
206  Fixation  Fixation  7.7   -24.7  1267.0  5
207  Fixation  Fixation  0.8   -6.9  1267.0  5
208  Fixation  Fixation  7.2   6.4  1267.0  5
209  Fixation  Fixation  3.3   -3.9  1267.0  5
210  Fixation  Fixation  13.7   10.3  1267.0  5
211  Fixation  Fixation  7.1   -6.6  1267.0  5
212  Fixation  Fixation  3.0   -4.1  1267.0  5
