left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye movement type
1,1,1163805076,-1.24281,162.25937,48.41581,-33.21135,72.38445,685.67236,4.7998,159.08618,47.26086,27.5908,77.8892,681.64484,Fixation
1,1,1163805093,-0.21802,159.76413,47.5076,-33.20964,72.39949,685.79004,3.73182,158.01227,46.86998,27.5971,77.89421,681.68274,Fixation
1,1,1163805109,-1.3516,159.90277,47.55804,-33.20699,72.40875,685.80377,4.2489,161.60768,48.17859,27.5961,77.90334,681.68353,Fixation
1,1,1163805126,-1.96429,165.04979,49.43146,-33.20734,72.41997,685.77747,5.09552,162.64775,48.55719,27.58823,77.91584,681.67072,Fixation
1,1,1163805143,0.67124,163.20218,48.75897,-33.21293,72.4451,685.74963,4.61111,160.94743,47.93833,27.57887,77.93684,681.65881,Fixation
1,1,1163805159,-1.35765,163.90309,49.01405,-33.21841,72.46405,685.70911,5.63305,159.8669,47.54503,27.57525,77.96157,681.73615,Fixation
1,1,1163805176,-0.83343,159.81575,47.52639,-33.22232,72.48195,685.72052,6.30438,159.78661,47.5158,27.57193,77.97621,681.78882,Fixation
1,1,1163805193,-0.85917,160.92224,47.92914,-33.22482,72.51048,685.75879,4.79889,160.60226,47.81264,27.57775,78.0022,681.85303,Fixation
1,1,1163805209,-1.44707,155.98279,46.13132,-33.22351,72.53388,685.74573,4.50103,159.855,47.54073,27.57722,78.02498,681.89093,Fixation
1,1,1163805226,-1.92637,160.77823,47.87673,-33.22482,72.54727,685.74548,6.67623,159.91585,47.56281,27.57451,78.03606,681.89124,Fixation
1,1,1163805243,-0.20909,160.6825,47.84185,-33.23149,72.54269,685.73218,3.58078,156.41704,46.2894,27.56898,78.03934,681.90527,Fixation
1,1,1163805259,0.11948,159.20354,47.30362,-33.23803,72.5204,685.71851,5.52494,158.88373,47.18718,27.55786,78.02448,681.94348,Fixation
1,1,1163805276,-0.84084,159.09912,47.26558,-33.2513,72.50061,685.7439,0.69942,158.99394,47.22733,27.5526,78.01801,682.0481,Fixation
