left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye openness left,Eye openness right,Eye movement type
1,1,1335692167801,-32.01848602294922,177.74961853027344,54.053768157958984,-27.1546630859375,98.30320739746094,689.0394287109375,-21.40391731262207,173.5581817626953,52.528236389160156,33.97733688354492,102.11681365966797,688.588623046875,11.286773681640623,11.067581176757812,Fixation
1,1,1335692184468,-31.877532958984375,176.27723693847656,53.51789855957031,-27.54601287841797,98.29390716552734,689.5440673828125,-30.26089859008789,167.77650451660156,50.42390441894531,33.650390625,102.06572723388672,688.4664306640625,11.387130737304688,10.781967163085938,Fixation
1,1,1335692201134,-30.9870548248291,174.82643127441406,52.989837646484375,-27.936355590820312,98.1702880859375,689.9850463867188,-23.688690185546875,171.983642578125,51.955135345458984,33.246673583984375,101.93388366699219,688.425537109375,11.707656860351562,11.033859252929688,Fixation
1,1,1335692217800,-32.02198028564453,174.8218231201172,52.98819351196289,-28.253501892089844,98.01038360595703,690.3521728515625,-24.423389434814453,169.50563049316406,51.05323791503906,32.90852355957031,101.83555603027344,688.5811157226562,11.578033447265623,10.882598876953123,Fixation
1,1,1335692234467,-30.50174331665039,178.6913299560547,54.39656448364258,-28.638168334960938,97.88600158691406,690.8603515625,-24.369823455810547,174.91192626953125,53.020965576171875,32.549434661865234,101.68408203125,688.6160888671875,11.468963623046877,10.856658935546877,Fixation
1,1,1335692251135,-32.7032585144043,176.30471801757812,53.52790451049805,-28.994121551513672,97.85955810546875,691.264404296875,-24.548799514770508,172.16732788085938,52.02198791503906,32.118370056152344,101.68189239501953,688.7774658203125,11.58135986328125,11.0487060546875,Fixation
1,1,1335692267802,-68.98536682128906,203.02638244628906,63.2537841796875,-29.584287643432617,98.15130615234375,692.068603515625,-58.71721267700195,200.357177734375,62.28229904174805,31.40333366394043,101.99467468261719,689.2684326171875,11.010696411132812,10.895263671875,Fixation
1,1,1335692284467,-96.40367126464844,214.69435119628906,67.5006103515625,-30.28874969482422,98.41989135742188,692.90576171875,-87.21907043457031,217.2242431640625,68.42139434814453,30.542163848876953,102.22358703613281,689.7327880859375,10.752578735351562,10.55450439453125,Fixation
1,1,1335692301134,-101.05342864990234,216.68081665039062,68.22356414794922,-30.887733459472656,98.53392028808594,693.6063232421875,-95.2091064453125,218.06317138671875,68.72673797607422,30.011356353759766,102.44717407226562,690.6263427734375,11.037094116210938,10.404876708984377,Fixation
1,1,1335692317801,-101.37076568603516,219.34169006347656,69.19208526611328,-31.38551902770996,98.60401916503906,693.9976806640625,-96.16047668457031,219.00958251953125,69.07118225097656,29.51657485961914,102.49668884277344,690.2215576171875,11.272430419921877,10.65887451171875,Fixation
1,1,1335692334467,-101.08555603027344,217.41244506835938,68.4898681640625,-31.905122756958008,98.61017608642578,694.0770874023438,-96.73269653320312,217.68434143066406,68.58883666992188,28.980892181396484,102.52315521240234,689.7164306640625,10.889678955078123,10.664169311523438,Fixation
1,1,1335692351134,-100.8871078491211,218.60122680664062,68.92255401611328,-32.44879150390625,98.62071990966797,694.421875,-97.76851654052734,220.4044647216797,69.57888793945312,28.46276092529297,102.62783813476562,689.8807373046875,11.086257934570312,10.591659545898438,Fixation
1,1,1335692367800,-98.64704132080078,214.82106018066406,67.54672241210938,-32.97801208496094,98.53762817382812,694.703369140625,-99.43643951416016,216.29942321777344,68.08477020263672,27.942745208740234,102.7103271484375,690.056640625,10.7998046875,10.817306518554688,Fixation
1,1,1335692384466,-101.25138092041016,215.97665405273438,67.96732330322266,-33.47389221191406,98.47915649414062,694.7022705078125,-97.84481811523438,215.40869140625,67.76056671142578,27.400985717773438,102.7554702758789,689.8531494140625,11.03155517578125,10.751495361328123,Fixation
1,1,1335692401133,-100.46863555908203,216.090087890625,68.00857543945312,-33.9942626953125,98.32560729980469,694.8485107421875,-97.60318756103516,216.4235076904297,68.12993621826172,26.84548568725586,102.67965698242188,689.2789916992188,11.234176635742188,10.72698974609375,Fixation
1,1,1335692417800,-100.22578430175781,217.78245544433594,68.62457275390625,-34.543678283691406,98.2236557006836,695.2700805664062,-99.42280578613281,217.11801147460938,68.38272094726562,26.320987701416016,102.76344299316406,689.84912109375,11.0869140625,10.714523315429688,Fixation
1,1,1335692434465,-101.79530334472656,218.19325256347656,68.77404022216797,-35.03150177001953,98.00648498535156,695.26953125,-97.40235900878906,215.81077575683594,67.90691375732422,25.764801025390625,102.6563949584961,689.433349609375,11.294464111328123,10.771957397460938,Fixation
1,1,1335692451132,-101.37307739257812,216.28407287597656,68.07920837402344,-35.509925842285156,97.75625610351562,695.4860229492188,-97.35826110839844,217.72410583496094,68.60331726074219,25.251983642578125,102.42015075683594,688.8931884765625,11.251998901367188,10.815536499023438,Fixation
1,1,1335692467797,-99.90057373046875,216.0764923095703,68.0036849975586,-35.94430160522461,97.54039764404297,695.664306640625,-99.92230987548828,220.521240234375,69.62141418457031,24.802682876586914,102.28031158447266,688.8370361328125,11.189239501953123,10.918014526367188,Fixation
1,1,1335692484463,-100.9153823852539,219.0018768310547,69.06842041015625,-36.288063049316406,97.26205444335938,695.275146484375,-97.9639892578125,217.1228485107422,68.38447570800781,24.412858963012695,102.12165832519531,688.695068359375,11.22393798828125,10.865402221679688,Fixation
