left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye movement type
1,1,1172837266,10.386706352233887,158.6014862060547,47.08443069458008,-17.62192153930664,55.49386978149414,670.841064453125,12.568477630615234,158.67617797851562,47.11166763305664,43.306480407714844,59.713478088378906,670.9794311523438,Fixation
1,1,1172837283,9.145828247070312,159.05593872070312,47.24985122680664,-17.699115753173828,55.49213790893555,670.961181640625,11.100955963134766,156.39743041992188,46.28221130371094,43.24510955810547,59.70305633544922,670.9115600585938,Fixation
1,1,1172837299,8.606453895568848,157.39462280273438,46.64517593383789,-17.775970458984375,55.416038513183594,670.6808471679688,11.107912063598633,154.97946166992188,45.76615524291992,43.14776611328125,59.64800262451172,670.7485961914062,Fixation
1,1,1172837316,9.323251724243164,160.30966186523438,47.7061882019043,-17.865354537963867,55.2896842956543,670.68896484375,10.261037826538086,157.4457244873047,46.66374969482422,43.073158264160156,59.603790283203125,670.858154296875,Fixation
1,1,1172837333,9.130876541137695,155.04074096679688,45.788429260253906,-17.95026397705078,55.24555206298828,670.7105712890625,12.225972175598145,158.85231018066406,47.17573165893555,42.98360061645508,59.53028106689453,670.758056640625,Fixation
1,1,1172837349,9.699763298034668,155.82980346679688,46.07564163208008,-17.9945068359375,55.15452575683594,670.57958984375,9.265435218811035,157.02085876464844,46.509098052978516,42.934207916259766,59.473114013671875,670.56494140625,Fixation
1,1,1172837366,9.326891899108887,159.52468872070312,47.420433044433594,-18.014812469482422,55.10429382324219,670.592041015625,11.671198844909668,157.3358612060547,46.62378692626953,42.91979217529297,59.46044158935547,670.542236328125,Fixation
1,1,1172837383,8.592877388000488,156.9524688720703,46.48426818847656,-18.0147647857666,55.16259765625,670.4921875,11.830948829650879,158.0125732421875,46.870121002197266,42.9288330078125,59.48176956176758,670.5158081054688,Fixation
1,1,1172837399,8.319952011108398,159.72608947753906,47.493778228759766,-18.007526397705078,55.23035430908203,670.458251953125,13.746871948242188,155.5711669921875,45.98151779174805,42.927452087402344,59.58701705932617,670.4774169921875,Fixation
1,1,1172837416,9.925354957580566,156.2134552001953,46.21525955200195,-18.005386352539062,55.38529968261719,670.4553833007812,11.15699577331543,158.01353454589844,46.870445251464844,42.944847106933594,59.680118560791016,670.450927734375,Fixation
1,1,1172837433,10.170418739318848,156.98590087890625,46.49641036987305,-18.010272979736328,55.43571472167969,670.4328002929688,11.179274559020996,158.37274169921875,47.00120162963867,42.9375,59.73413848876953,670.4630126953125,Fixation
1,1,1172837449,9.633077621459961,154.82650756835938,45.71046829223633,-18.009647369384766,55.4206428527832,670.4442749023438,10.997982025146484,157.01382446289062,46.50658416748047,42.94664001464844,59.701839447021484,670.5001831054688,Fixation
1,1,1172837466,8.781447410583496,156.241943359375,46.225650787353516,-18.00674819946289,55.35151672363281,670.5540771484375,12.734746932983398,154.85321044921875,45.72019577026367,42.941062927246094,59.64086151123047,670.351318359375,Fixation
1,1,1172837483,9.773942947387695,160.78355407714844,47.87863540649414,-17.996746063232422,55.244293212890625,670.48388671875,13.19904899597168,155.718505859375,46.03508377075195,42.96363067626953,59.54383850097656,670.5980224609375,Fixation
1,1,1172837499,9.982720375061035,155.10580444335938,45.812103271484375,-17.99614906311035,55.202171325683594,670.3961791992188,12.747943878173828,157.10777282714844,46.540802001953125,42.96515655517578,59.456356048583984,670.5107421875,Fixation
1,1,1172837516,9.755987167358398,158.5038299560547,47.04890823364258,-18.01285171508789,55.159767150878906,670.5166015625,12.603196144104004,152.68643188476562,44.93157196044922,42.943599700927734,59.415714263916016,670.4384765625,Fixation
1,1,1172837533,8.719419479370117,157.21629333496094,46.5803108215332,-18.061491012573242,55.124732971191406,670.6258544921875,13.032288551330566,155.2512664794922,45.86508560180664,42.91188049316406,59.41782760620117,670.6051025390625,Fixation
1,1,1172837549,9.773286819458008,158.43368530273438,47.02334976196289,-18.12155532836914,55.146392822265625,670.7093505859375,11.38845443725586,156.9986114501953,46.50105285644531,42.85239028930664,59.45464324951172,670.7135620117188,Fixation
1,1,1172837566,10.567281723022461,156.2410888671875,46.22532653808594,-18.183019638061523,55.23725128173828,670.820068359375,12.963804244995117,157.3104705810547,46.61455535888672,42.79011917114258,59.50028991699219,670.6841430664062,Fixation
1,1,1172837583,9.1729154586792,160.85487365722656,47.90464401245117,-18.218597412109375,55.27110290527344,670.8067626953125,12.025004386901855,155.90682983398438,46.103702545166016,42.75315475463867,59.59699249267578,670.7754516601562,Fixation
1,1,1172837599,9.983466148376465,159.52101135253906,47.419105529785156,-18.234539031982422,55.31765365600586,670.978515625,12.06317138671875,153.70822143554688,45.303489685058594,42.73419952392578,59.64411163330078,670.81640625,Fixation
1,1,1172837616,10.0408935546875,158.5116424560547,47.0517463684082,-18.216915130615234,55.293697357177734,671.05517578125,10.79170036315918,155.9855499267578,46.13230514526367,42.75850296020508,59.60935592651367,671.014404296875,Fixation
1,1,1172837633,10.490242004394531,157.13449096679688,46.550514221191406,-18.19118309020996,55.240543365478516,671.240966796875,12.39283561706543,155.83351135253906,46.07698440551758,42.778404235839844,59.50675964355469,670.9491577148438,Fixation
1,1,1172837649,11.456677436828613,159.25816345214844,47.32342529296875,-18.169532775878906,55.09540557861328,671.3575439453125,13.115554809570312,157.47488403320312,46.67442321777344,42.824851989746094,59.45690155029297,671.3807983398438,Fixation
1,1,1172837666,10.30135726928711,154.52163696289062,45.59953689575195,-18.16159439086914,55.06337356567383,671.4437255859375,13.825553894042969,156.99501037597656,46.499752044677734,42.81293869018555,59.34086608886719,671.1697998046875,Fixation
1,1,1172837683,10.468840599060059,153.9356231689453,45.38623809814453,-18.16421127319336,55.042152404785156,671.5296630859375,12.947037696838379,158.67344665527344,47.110633850097656,42.80743408203125,59.338104248046875,671.2576904296875,Fixation
1,1,1172837699,10.75264835357666,155.03236389160156,45.78541946411133,-18.179378509521484,55.08354949951172,671.5553588867188,12.998787879943848,156.66104125976562,46.3781852722168,42.80305480957031,59.40888214111328,671.44580078125,Fixation
1,1,1172837716,9.80524730682373,159.28416442871094,47.332916259765625,-18.19845199584961,55.1165885925293,671.5802001953125,12.667738914489746,156.2592315673828,46.23194122314453,42.776763916015625,59.49455642700195,671.3624267578125,Fixation
1,1,1172837733,9.929134368896484,155.98046875,46.1304817199707,-18.23037338256836,55.245948791503906,671.6250610351562,12.803590774536133,158.28273010253906,46.968414306640625,42.759971618652344,59.580650329589844,671.4022216796875,Fixation
