classified_movement,recording_timestamp,x,y,pupil_left,pupil_right,duration,group_index
fixation,75.091000020504,0.3244289843475117,0.9122366870150846,2.763651230755974,2.7234999712775734,283.0,1
fixation,408.50999999046326,0.4092835336923599,0.5914884090423584,2.709486389160156,2.6403823852539063,166.0,2
fixation,608.4350000023842,0.4315527515566867,0.4855180505825126,2.732885609502378,2.684606800908628,383.0,3
fixation,1025.1710000038147,0.4849879503250122,0.447977302968502,2.755975341796875,2.6974945068359375,167.0,4
fixation,1208.5719999670982,0.4941687911748886,0.4239131361246109,2.7347686767578123,2.678852844238281,166.0,5
fixation,1458.580999970436,0.2841208795706431,0.18803450564543406,2.6225494384765624,2.594429524739583,250.0,6
fixation,1775.222000002861,0.47598340255873545,0.13150966273886816,2.648012433733259,2.6022142682756697,117.0,7
fixation,1991.8980000019073,0.8656690872850872,0.12176780526836713,2.6804969424293157,2.633759998139881,350.0,8
fixation,2441.8830000162125,0.5613385265072187,0.37624482065439224,2.766974131266276,2.731511433919271,200.0,9
fixation,2675.1859999895096,0.5266492821668324,0.4385466175644021,2.7571089895148027,2.717517250462582,317.0,10
fixation,3008.458999991417,0.5054900106042624,0.428352483548224,2.7495737075805664,2.721470832824707,266.0,11
fixation,3291.7849999666214,0.5250177164872487,0.4321166664361954,2.7760411580403646,2.719917805989583,500.0,12
fixation,3858.4480000138283,0.723502645889918,0.5273590137561163,2.8891029357910156,2.7080421447753906,200.0,13
fixation,4108.459999978542,0.888970150397374,0.8331336906323066,2.8140657865084133,2.741334181565505,216.0,14
fixation,4475.148000001907,0.08574388069765908,0.9186714121273586,2.8848440987723216,2.8086068289620534,117.0,15
fixation,4608.483999967575,0.027336491171495413,0.970953138737843,2.7433558496935615,2.703019794664885,966.0,16
fixation,5741.888000011444,0.9521910764954307,0.9682391583919525,2.792239102450284,2.7497114701704546,183.0,17
fixation,5941.889999985695,0.9937675161795183,0.9697325039993633,2.8294497403231533,2.785186767578125,183.0,18
fixation,6141.89200001955,0.9872106380608617,0.9911601932681336,2.757316122249681,2.7132624412069517,817.0,19
fixation,7125.236999988556,0.053034114216764766,0.9509773333867391,2.7004709879557294,2.6593292236328123,250.0,20
fixation,7475.254000008106,0.4215402901172638,0.29468475580215453,2.755329895019531,2.7040130615234377,167.0,21
fixation,7675.26599997282,0.4956229731440544,0.37406973987817765,2.771270751953125,2.719682312011719,167.0,22
fixation,7891.949000000954,0.6739661251676494,0.3999526346551961,2.8995640195649246,2.811176168507543,491.0,23
fixation,8792.008000016212,0.5413638144731522,0.4647252470254898,2.87254638671875,2.839796447753906,159.0,24
fixation,8975.353999972343,0.5585326453049978,0.43480402200172347,2.8182573318481445,2.779792149861654,808.0,25
fixation,10092.111999988556,0.5665688395500184,0.4226414849360784,2.8060953776041666,2.793780517578125,242.0,26
fixation,10358.804000020027,0.5852575302124023,0.42991224879568274,2.7984175248579546,2.7751894864169033,550.0,27
fixation,10925.490999996662,0.5733682264884313,0.42567721257607144,2.7944157918294272,2.7609786987304688,108.0,28
fixation,11425.509000003338,0.5783619453077731,0.44300519966560864,2.8162576426630435,2.7892867378566577,375.0,29
fixation,12733.888000011444,0.5010627508163452,0.41146775973694666,2.7368556431361606,2.724645342145647,233.0,30
fixation,13000.56099998951,0.40328672088005324,0.45835783230987465,2.8181873668323862,2.77986665205522,733.0,31
fixation,13750.57999998331,0.4437463693320751,0.4513073042035103,2.8241806030273438,2.7952957153320312,74.0,32
fixation,14150.578999996185,0.46483910977840426,0.45070840716362,2.852593994140625,2.8551513671875,75.0,33
fixation,14267.25199997425,0.5188424289226532,0.3230571945508321,2.924910227457682,2.8533935546875,200.0,34
fixation,14517.250999987125,0.6853144548156045,0.47112527083266864,2.8580447110262783,2.742919921875,184.0,35
fixation,14867.25300002098,0.2999497756361961,0.6515012860298157,2.725439453125,2.7903228759765626,167.0,36
fixation,15083.922999978065,0.2552488079437843,0.41598038146129024,2.7238839956430287,2.773937518780048,217.0,37
fixation,15350.585999965668,0.4582302759764558,0.547919768398091,2.792951939469677,2.7721045542571505,983.3330000042915,38
