classified_movement,recording_timestamp,x,y,pupil_left,pupil_right,duration,group_index
fixation,75.091000020504,0.6622144921737558,0.9561183435075423,2.763651230755974,2.7234999712775734,283.0,1
fixation,408.50999999046326,0.70464176684618,0.7957442045211792,2.709486389160156,2.6403823852539063,166.0,2
fixation,608.4350000023842,0.7157763757783434,0.7427590252912563,2.732885609502378,2.684606800908628,383.0,3
fixation,1025.1710000038147,0.7424939751625061,0.7239886514842511,2.755975341796875,2.6974945068359375,167.0,4
fixation,1208.5719999670982,0.7470843955874443,0.7119565680623055,2.7347686767578123,2.678852844238281,166.0,5
fixation,1458.580999970436,0.6420604397853216,0.594017252822717,2.6225494384765624,2.594429524739583,250.0,6
fixation,1775.222000002861,0.7379917012793678,0.565754831369434,2.648012433733259,2.6022142682756697,117.0,7
fixation,1991.8980000019073,0.9328345436425436,0.5608839026341835,2.6804969424293157,2.633759998139881,350.0,8
fixation,2441.8830000162125,0.7806692632536093,0.6881224103271961,2.766974131266276,2.731511433919271,200.0,9
fixation,2675.1859999895096,0.7633246410834161,0.7192733087822011,2.7571089895148027,2.717517250462582,317.0,10
fixation,3008.458999991417,0.7527450053021312,0.714176241774112,2.7495737075805664,2.721470832824707,266.0,11
fixation,3291.7849999666214,0.7625088582436244,0.7160583332180976,2.7760411580403646,2.719917805989583,500.0,12
fixation,3858.4480000138283,0.861751322944959,0.7636795068780581,2.8891029357910156,2.7080421447753906,200.0,13
fixation,4108.459999978542,0.9444850751986871,0.9165668453161533,2.8140657865084133,2.741334181565505,216.0,14
fixation,4475.148000001907,0.5428719403488296,0.9593357060636792,2.8848440987723216,2.8086068289620534,117.0,15
fixation,4608.483999967575,0.5136682455857478,0.9854765693689215,2.7433558496935615,2.703019794664885,966.0,16
fixation,5741.888000011444,0.9760955382477153,0.9841195791959763,2.792239102450284,2.7497114701704546,183.0,17
fixation,5941.889999985695,0.9968837580897592,0.9848662519996817,2.8294497403231533,2.785186767578125,183.0,18
fixation,6141.89200001955,0.9936053190304308,0.9955800966340669,2.757316122249681,2.7132624412069517,817.0,19
fixation,7125.236999988556,0.5265170571083824,0.9754886666933695,2.7004709879557294,2.6593292236328123,250.0,20
fixation,7475.254000008106,0.7107701450586319,0.6473423779010773,2.755329895019531,2.7040130615234377,167.0,21
fixation,7675.26599997282,0.7478114865720272,0.6870348699390888,2.771270751953125,2.719682312011719,167.0,22
fixation,7891.949000000954,0.8369830625838247,0.699976317327598,2.8995640195649246,2.811176168507543,491.0,23
fixation,8792.008000016212,0.770681907236576,0.732362623512745,2.87254638671875,2.839796447753906,159.0,24
fixation,8975.353999972343,0.7792663226524988,0.7174020110008618,2.8182573318481445,2.779792149861654,808.0,25
fixation,10092.111999988556,0.7832844197750092,0.7113207424680392,2.8060953776041666,2.793780517578125,242.0,26
fixation,10358.804000020027,0.7926287651062012,0.7149561243978414,2.7984175248579546,2.7751894864169033,550.0,27
fixation,10925.490999996662,0.7866841132442156,0.7128386062880357,2.7944157918294272,2.7609786987304688,108.0,28
fixation,11425.509000003338,0.7891809726538865,0.7215025998328043,2.8162576426630435,2.7892867378566577,375.0,29
fixation,12733.888000011444,0.7505313754081726,0.7057338798684734,2.7368556431361606,2.724645342145647,233.0,30
fixation,13000.56099998951,0.7016433604400266,0.7291789161549374,2.8181873668323862,2.77986665205522,733.0,31
fixation,13750.57999998331,0.7218731846660376,0.7256536521017551,2.8241806030273438,2.7952957153320312,74.0,32
fixation,14150.578999996185,0.7324195548892021,0.72535420358181,2.852593994140625,2.8551513671875,75.0,33
fixation,14267.25199997425,0.7594212144613266,0.661528597275416,2.924910227457682,2.8533935546875,200.0,34
fixation,14517.250999987125,0.8426572274078022,0.7355626354163344,2.8580447110262783,2.742919921875,184.0,35
fixation,14867.25300002098,0.6499748878180981,0.8257506430149079,2.725439453125,2.7903228759765626,167.0,36
fixation,15083.922999978065,0.6276244039718921,0.7079901907306451,2.7238839956430287,2.773937518780048,217.0,37
fixation,15350.585999965668,0.7291151379882279,0.7739598841990455,2.792951939469677,2.7721045542571505,983.3330000042915,38
