classified_movement,recording_timestamp,x,y,pupil_left,pupil_right,duration,group_index
fixation,1335828811.902,0.777249664068222,0.7623577266931534,3.175399780273437,2.973052978515625,24.0,1
fixation,1335828878.57,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713,1425.0,2
fixation,1335830678.623,0.7242770146112889,0.7048596965614706,3.1639318466186523,3.0707831382751465,525.0,3
fixation,1335831228.609,0.7470516314109167,0.707069987224208,3.023647732204861,2.943781534830729,158.0,4
fixation,1335831711.933,0.7623420715332031,0.6956823110580445,3.09105224609375,2.988775634765625,76.0,5
fixation,1335831828.596,0.7568588100040137,0.7369670008323086,3.1627413621589318,3.0350427200545127,2233.0,6
fixation,1335834095.202,0.7720817710672107,0.7494164141161102,3.063023158482143,2.9319327218191966,125.0,7
fixation,1335834595.211,0.7833943739533424,0.745878928899765,3.127959442138672,3.018505096435547,326.0,8
fixation,1335834978.549,0.7328266426920891,0.7470394755628976,2.956552678888494,2.9094730723987925,366.0,9
fixation,1335835361.89,0.7253444111691072,0.7437121911117663,2.8701694195087137,2.8276302631084738,433.0,10
fixation,1335835861.899,0.7474699323730809,0.5862060396799019,2.9667630876813615,2.862084524972098,234.0,11
fixation,1335836128.572,0.7789926122535359,0.595136126334017,2.978543368252841,2.8765092329545454,183.0,12
fixation,1335836361.906,0.8262793544460746,0.7639440078945721,3.003479901482077,2.874856387867647,284.0,13
fixation,1335836711.916,0.752623747695576,0.7523648020896044,3.0333737460049717,2.913900201970881,184.0,14
fixation,1335836945.245,0.6933585233055055,0.7641217559576035,2.9853219985961914,2.879037857055664,266.0,15
fixation,1335837228.585,0.6799491767126781,0.7629840454229941,2.9158812302809496,2.828076876126803,433.0,16
fixation,1335837711.92,0.7462479213873545,0.8290485749642055,2.7879058837890627,2.678668212890625,250.0,17
fixation,1335837995.251,0.7914297096431255,0.788353718817234,2.770782470703125,2.6910552978515625,74.0,18
fixation,1335838528.591,0.8356423139572143,0.7110558852553368,3.003289794921875,2.902996826171875,75.0,19
fixation,1335838661.926,0.7658770922571421,0.6716625047847629,2.9474010467529297,2.901498794555664,134.0,20
fixation,1335838828.591,0.7209857298682133,0.6600994458422065,2.8282782236735025,2.8047968546549478,400.0,21
fixation,1335839295.256,0.576159466191062,0.5815525986254215,2.7565514700753346,2.7630528041294644,466.0,22
fixation,1335839778.592,0.5651010467981299,0.5800656493753195,2.767608388264974,2.7642422993977864,1000.0,23
fixation,1335840845.258,0.7144193135458847,0.6190573930226523,2.9107197728650323,2.8143605199353448,483.0,24
fixation,1335841428.588,0.8722654440823723,0.5737923970993828,2.9339958639705883,2.7957682890050553,283.0,25
fixation,1335841761.923,0.962097454816103,0.5735015422105789,2.8700492858886717,2.801739501953125,334.0,26
fixation,1335842195.263,0.8522296282980177,0.8617455098364089,2.871795654296875,2.7345394558376737,150.0,27
fixation,1335842395.266,0.799074786901474,0.84863071590662,2.8513839721679686,2.7523712158203124,166.0,28
fixation,1335842578.6,0.7979616895318031,0.8420903757214546,2.8999710083007812,2.7844390869140625,33.0,29
fixation,1335842645.267,0.7471017067631086,0.7966960950030221,2.8979119194878473,2.8529595269097223,150.0,30
fixation,1335842811.935,0.7591123261102816,0.7753431913329334,2.9156951904296875,2.818611331102325,684.0,31
fixation,1335843545.281,0.7717112582176924,0.6434468636289239,2.954099655151367,2.865367889404297,133.0,32
fixation,1335843695.281,0.763538533449173,0.5885923181970915,2.925522867838542,2.851273600260417,250.0,33
fixation,1335843961.951,0.7598131224513054,0.5778046450577676,2.929058074951172,2.8510303497314453,134.0,34
fixation,1335844178.62,0.8293037646346622,0.7829211784733666,2.8684217664930554,2.8070170084635415,150.0,35
fixation,1335844345.288,0.8333154228471574,0.7703014867646354,2.924500238327753,2.8442324683779763,350.0,36
fixation,1335844728.627,0.7755001187324524,0.7693731387456259,2.946751912434896,2.85693359375,50.0,37
fixation,1335844811.96,0.7314360908099583,0.777683994599751,2.927854265485491,2.8572562081473216,117.0,38
fixation,1335844945.295,0.7498419985175133,0.7829228391249975,2.9044647216796875,2.816245524088542,250.0,39
fixation,1335845245.3,0.7053875795432499,0.7109239410076823,2.9353485107421875,2.8709586007254466,116.0,40
fixation,1335845411.969,0.6912813024485812,0.6388883919400328,2.936156328986673,2.867737713982077,284.0,41
fixation,1335845728.638,0.731288963307937,0.709693377216657,2.9139836629231772,2.8487675984700522,100.0,42
fixation,1335845861.971,0.7661010459065437,0.7441931866109371,2.887725830078125,2.806260681152344,167.0,43
fixation,1335846045.31,0.7802614468336105,0.7477709418535232,2.8881854248046874,2.81105712890625,416.0,44
fixation,1335846495.316,0.7332463053905446,0.7455103740743969,2.830899445906929,2.8022759479025137,383.0,45
fixation,1335846911.987,0.7480349820107222,0.772629177197814,2.8264904022216797,2.7739696502685547,134.0,46
fixation,1335847061.991,0.7526528147811239,0.7927121472629634,2.820656516335227,2.7836373069069604,367.0,47
fixation,1335847445.33,0.7520508207380772,0.8515403270721436,2.9039815266927085,2.814441680908203,400.0,48
fixation,1335847895.34,0.8260856316639826,0.7656552241398737,2.93597412109375,2.8581566443810096,216.0,49
fixation,1335848128.678,0.83826651849917,0.7590099732790675,2.9571827479771207,2.873571123395647,233.0,50
fixation,1335848428.684,0.6784050619602203,0.7545535090565682,2.922386474609375,2.8935888671875,425.0,51
fixation,1335849228.7,0.7657264123360316,0.7460246820534978,2.9676956903366816,2.894475301106771,342.0,52
fixation,1335849628.706,0.8834050434331099,0.7320013847202063,2.9172045389811196,2.798046112060547,208.0,53
