recording_timestamp,point_on_display_left_x,point_on_display_left_y,point_on_display_right_x,point_on_display_right_y,gaze_point_left_x,gaze_point_left_y,gaze_point_left_z,gaze_point_right_x,gaze_point_right_y,gaze_point_right_z,eye_position_left_x,eye_position_left_y,eye_position_left_z,eye_position_right_x,eye_position_right_y,eye_position_right_z,left_gaze_origin_validity,right_gaze_origin_validity,left_pupil_diameter,right_pupil_diameter,eye_openness_left,eye_openness_right,eye_movement_type,gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,point_on_display_x,point_on_display_y,eye_position_x,eye_position_y,eye_position_z,gaze_point_x,gaze_point_y,gaze_point_z,velocity,classified_movement,diff,gap,merged,is_blink,duration,group,group_index,x,y,pupil_left,pupil_right
1335828811.902,0.7767557501792908,0.7587186098098755,0.7777435779571533,0.7659968435764313,29.69886589050293,149.68344116210938,43.83852005004883,30.795360565185547,145.41314697265625,42.28425216674805,-26.258995056152344,76.3503189086914,695.8955078125,34.92817306518555,79.9049072265625,695.6727905273438,1,1,3.175399780273437,2.973052978515625,11.201507568359377,10.70904541015625,fixation,55.95786094665527,73.33312225341797,-652.0569877624512,-4.1328125,65.50823974609375,-653.3885383605957,25.912524223327637,69.42068099975586,-652.7227630615234,0.777249664068222,0.7623577266931534,4.334589004516602,78.12761306762695,695.7841491699219,30.24711322784424,147.5482940673828,43.06138610839844,,unclassified,,32.0,False,False,40.0,1,1,,,,
1335828828.566,0.7684521079063416,0.7523349821567535,0.7683748304843903,0.7616510093212128,20.48183250427246,153.42881774902344,45.20174789428711,20.396011352539062,147.96292114257812,43.21232223510742,-26.474063873291016,76.40254211425781,695.529541015625,34.669097900390625,79.96310424804688,695.6727905273438,1,1,3.149444580078125,2.99969482421875,11.353836059570312,11.011962890625,fixation,46.95589637756348,77.02627563476562,-650.3277931213379,-14.273086547851562,67.99981689453125,-652.3126411437988,16.341404914855957,72.51304626464844,-651.3202171325684,0.7684134691953659,0.7569929957389832,4.097517013549805,78.18282318115234,695.6227416992188,20.43892192840576,150.69586944580078,44.207035064697266,52.725919305510175,saccade,,48.664000034332275,False,False,50.0,2,1,,,,
1335828845.236,0.745519369840622,0.7190175205469131,0.7515203952789307,0.7262081205844879,-4.973538875579834,172.97686767578125,52.316688537597656,1.687630295753479,168.7579803466797,50.781105041503906,-26.861534118652344,76.55049133300781,695.529541015625,34.194793701171875,80.18428039550781,695.737060546875,1,1,3.2112579345703125,2.99603271484375,11.457916259765623,10.727996826171877,fixation,21.88799524307251,96.42637634277344,-643.1917343139648,-32.507163405418396,88.57369995117188,-644.9559555053711,-5.309584081172943,92.50003814697266,-644.073844909668,0.7485198825597763,0.7226128205657005,3.6666297912597656,78.36738586425781,695.6227416992188,-1.6429542899131775,170.86742401123047,51.54889678955078,157.6512621248164,saccade,104.92534281930624,65.33400011062622,False,False,50.0,2,1,,,,
1335828861.903,0.73752561211586,0.7080744504928589,0.7410131394863129,0.7229929268360138,-13.846589088439941,179.39739990234375,54.65350341796875,-9.975428581237793,170.64439392089844,51.46772766113281,-27.179401397705078,76.55049133300781,695.8272705078125,33.825401306152344,80.35720825195312,695.99365234375,1,1,3.191741943359375,2.999374389648437,10.750625610351562,10.67889404296875,fixation,13.659432411193848,102.8980712890625,-641.1737670898438,-43.80082988739014,90.28718566894531,-644.5259246826172,-15.717216491699219,96.5926284790039,-642.8498458862305,0.7385574579238892,0.7155336886644363,3.322999954223633,78.42826843261719,695.9104614257812,-12.701233863830566,175.0208969116211,53.06061553955078,59.40889383052262,saccade,-98.24236829429378,82.00100016593933,False,False,50.0,2,1,,,,
1335828878.57,0.73752561211586,0.7041352540254593,0.7410131394863129,0.719406247138977,-13.846589088439941,181.70860290527344,55.49475860595703,-9.975428581237793,172.74879455566406,52.23362731933594,-27.50602149963379,76.49932861328125,696.0571899414062,33.537986755371094,80.36961364746094,695.99365234375,1,1,3.18212890625,3.031356811523437,10.824737548828123,10.546432495117188,fixation,13.659432411193848,105.33411407470703,-640.5698776245117,-43.80082988739014,92.37918090820312,-643.6392974853516,-15.717216491699219,98.85664749145508,-642.1045875549316,0.7385574579238892,0.7117707505822182,3.0159826278686523,78.42826843261719,695.9687805175781,-12.701233863830566,177.22869873046875,53.864192962646484,12.429346922827929,fixation,-46.9795469076947,98.66799998283386,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
1335828895.235,0.73752561211586,0.7068922072649002,0.7395893037319183,0.719406247138977,-13.846589088439941,180.09103393554688,54.90599822998047,-11.555878639221191,172.74879455566406,52.23362731933594,-27.861421585083008,76.38858032226562,696.0646362304688,33.1514892578125,80.36961364746094,695.99365234375,1,1,3.21832275390625,3.0120086669921875,11.351181030273438,10.6676025390625,fixation,13.659432411193848,103.70245361328125,-641.1737670898438,-44.71450138092041,92.37918090820312,-643.6392974853516,-15.717216491699219,98.85664749145508,-642.1045875549316,0.7385574579238892,0.7117707505822182,2.645033836364746,78.41311645507812,695.9687805175781,-12.701233863830566,177.22869873046875,53.864192962646484,0.0,fixation,-12.429346922827929,115.33299994468689,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
1335828911.903,0.7365140914916992,0.7044480293989182,0.739714965224266,0.719406247138977,-14.969396591186523,181.52508544921875,55.42797088623047,-11.416418075561523,172.74879455566406,52.23362731933594,-28.173885345458984,76.3744888305664,696.381103515625,32.87738800048828,80.43765258789062,695.9732666015625,1,1,3.179840087890625,3.0097198486328125,11.15557861328125,10.59649658203125,fixation,13.225058555603027,105.20426940917969,-640.9531326293945,-43.96234703063965,92.37918090820312,-643.6392974853516,-15.36864423751831,98.85664749145508,-642.1045875549316,0.7379731386899948,0.7117707505822182,2.3517513275146484,78.41311645507812,696.1771850585938,-13.349846363067627,177.22869873046875,53.864192962646484,1.8432774341826876,fixation,1.8432774341826876,132.00100016593933,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
1335828928.569,0.7365140914916992,0.7044480293989182,0.739714965224266,0.7092932164669037,-14.969396591186523,181.52508544921875,55.42797088623047,-11.416418075561523,178.6823272705078,54.39325714111328,-28.508333206176758,76.32081604003906,696.4260864257812,32.545928955078125,80.57588195800781,696.074462890625,1,1,3.204254150390625,3.0303955078125,11.171051025390623,10.869888305664062,fixation,13.225058555603027,105.20426940917969,-640.9531326293945,-43.96234703063965,97.99747467041016,-641.7714767456055,-15.36864423751831,101.8234634399414,-641.2913074493408,0.7379731386899948,0.7066441476345062,2.0187978744506836,78.44834899902344,696.2502746582031,-13.349846363067627,180.23657989501953,54.958967208862305,16.17585220081515,fixation,14.332574766632462,148.6670000553131,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
1335828945.237,0.7363021969795227,0.6994343101978302,0.7423809468746185,0.7204165011644363,-15.204601287841797,184.46676635742188,56.49862289428711,-8.457170486450195,172.1560516357422,52.017921447753906,-28.79974365234375,76.23954010009766,696.381103515625,32.2388916015625,80.68485260009766,696.0430297851562,1,1,3.16455078125,2.98004150390625,11.323532104492188,10.887924194335938,fixation,13.842479705810547,108.2560043334961,-639.8736305236816,-40.696062088012695,91.58016967773438,-643.9553451538086,-13.33572769165039,99.2785530090332,-642.1312808990479,0.7394892424345016,0.7107771933078766,1.719573974609375,78.46219635009766,696.2076416015625,-11.666971683502197,177.8116455078125,54.07636070251465,17.67658109126645,fixation,1.500728890451299,165.33500003814697,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
1335828961.908,0.7366890907287598,0.6994343101978302,0.7423809468746185,0.71463343501091,-14.775136947631836,184.46676635742188,56.49862289428711,-8.457170486450195,175.54910278320312,53.25286102294922,-29.047080993652344,76.23954010009766,696.43603515625,31.986160278320312,80.85542297363281,696.0430297851562,1,1,3.1673583984375,3.006088256835937,11.24249267578125,10.645355224609377,fixation,14.024606704711914,108.2560043334961,-639.8736305236816,-40.696062088012695,94.58114624023438,-642.7709426879883,-13.33572769165039,100.81411743164062,-641.6557350158691,0.7394892424345016,0.7079907208681107,1.4695396423339844,78.5330924987793,696.3003845214844,-11.666971683502197,179.44651794433594,54.67141342163086,8.412492865044713,fixation,-9.264088226221736,182.00600004196167,False,False,1425.0,3,1,0.7389812397606232,0.7081976921242826,3.214849853515625,3.068840834673713
