left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye openness left,Eye openness right,Eye movement type
1,1,1333689152287,10.327393531799316,159.16543579101562,47.2896842956543,-36.65675354003906,74.99161529541016,684.3739013671875,12.16088581085205,154.4108123779297,45.55918502807617,24.553699493408203,78.4044418334961,684.1328125,10.914505004882812,10.173507690429688,Fixation
1,1,1333689168954,9.00941276550293,161.83128356933594,48.259986877441406,-36.62461853027344,74.9222412109375,684.18115234375,12.5152006149292,155.56057739257812,45.97765350341797,24.568695068359375,78.31266021728516,683.963623046875,11.118484497070312,10.164947509765623,Fixation
1,1,1333689185618,8.251819610595703,161.4795684814453,48.13199234008789,-36.60258865356445,74.87211608886719,683.99853515625,12.721548080444336,158.11734008789062,46.90821075439453,24.583412170410156,78.2240219116211,683.6262817382812,11.263900756835938,10.257186889648438,Fixation
1,1,1333689202286,6.645220756530762,158.44322204589844,47.02685546875,-36.591644287109375,74.85118103027344,683.9186401367188,12.502448081970215,157.069580078125,46.52687454223633,24.607379913330078,78.1817855834961,683.4563598632812,11.155487060546877,10.0250244140625,Fixation
1,1,1333689218952,8.845955848693848,158.68223571777344,47.11383056640625,-36.575592041015625,74.83328247070312,683.8298950195312,12.088384628295898,157.42459106445312,46.65608596801758,24.639705657958984,78.17742919921875,683.5048828125,11.122817993164062,10.074966430664062,Fixation
1,1,1333689235619,10.35087776184082,161.02093505859375,47.965110778808594,-36.55699157714844,74.8099365234375,683.712890625,9.259414672851562,158.2666015625,46.96254348754883,24.693946838378906,78.15046691894531,683.3974609375,10.911300659179688,10.131515502929688,Fixation
1,1,1333689252285,9.71522045135498,160.4039764404297,47.74050521850586,-36.50935363769531,74.7366714477539,683.3308715820312,8.72309398651123,156.86065673828125,46.450782775878906,24.74040412902832,78.07151794433594,683.0191650390625,10.976272583007812,10.211776733398438,Fixation
1,1,1333689268952,10.306489944458008,161.74554443359375,48.228790283203125,-36.45897674560547,74.64671325683594,683.0429077148438,12.675348281860352,153.48779296875,45.223228454589844,24.768245697021484,78.02137756347656,682.9271240234375,11.175796508789062,10.332977294921877,Fixation
1,1,1333689285619,8.8091402053833,160.9054412841797,47.92302703857422,-36.40065002441406,74.56990051269531,682.8453369140625,11.989921569824219,155.17420959472656,45.83702087402344,24.80706214904785,77.9273910522461,682.75634765625,10.992462158203123,10.198699951171877,Fixation
1,1,1333689302286,9.274568557739258,158.92384338378906,47.20179748535156,-36.35533905029297,74.54290771484375,682.850830078125,12.659276008605957,156.68763732910156,46.38783264160156,24.845321655273438,77.82009887695312,682.3154296875,11.083389282226562,10.419692993164062,Fixation
1,1,1333689318952,9.509758949279785,159.38516235351562,47.36966323852539,-36.32732009887695,74.54874420166016,682.8917236328125,11.499743461608887,156.75738525390625,46.4132194519043,24.923370361328125,77.762939453125,682.1168212890625,11.130783081054688,10.168685913085938,Fixation
1,1,1333689335619,9.340987205505371,158.36570739746094,46.998626708984375,-36.27285385131836,74.51502227783203,682.56298828125,11.136726379394531,157.53213500976562,46.69519805908203,24.98223304748535,77.78028106689453,682.35693359375,11.180389404296877,10.330642700195312,Fixation
1,1,1333689352285,10.10130786895752,156.44100952148438,46.2981071472168,-36.20134735107422,74.45903015136719,682.0542602539062,9.870837211608887,153.15078735351562,45.10053634643555,25.018985748291016,77.7053451538086,681.8259887695312,11.361038208007812,10.304168701171877,Fixation
1,1,1333689368952,11.21371841430664,158.28170776367188,46.96805953979492,-36.14756774902344,74.41043090820312,681.73681640625,10.460261344909668,156.38168334960938,46.276493072509766,25.051315307617188,77.61892700195312,681.2836303710938,11.039962768554688,10.426361083984377,Fixation
1,1,1333689385619,10.939576148986816,159.34645080566406,47.355587005615234,-36.12347412109375,74.3977279663086,681.675048828125,12.257512092590332,153.54603576660156,45.24441146850586,25.09341049194336,77.62744903564453,681.3580322265625,11.128997802734377,10.041839599609377,Fixation
1,1,1333689402284,10.56185531616211,159.7196044921875,47.49138259887695,-36.103973388671875,74.39474487304688,681.65087890625,11.835208892822266,156.24966430664062,46.22845458984375,25.138893127441406,77.6362075805664,681.468994140625,11.009185791015623,10.40472412109375,Fixation
1,1,1333689418951,10.606542587280273,158.6389617919922,47.09809112548828,-36.08326721191406,74.37368774414062,681.52392578125,9.779250144958496,157.0673370361328,46.52606201171875,25.17286491394043,77.59667205810547,681.26123046875,11.320648193359377,10.137786865234377,Fixation
1,1,1333689435619,11.06121826171875,161.2628936767578,48.0531120300293,-36.061279296875,74.35006713867188,681.384033203125,8.800394058227539,153.82492065429688,45.345909118652344,25.194185256958008,77.55325317382812,680.9522705078125,11.08258056640625,10.156112670898438,Fixation
1,1,1333689452285,9.427495002746582,159.28109741210938,47.331783294677734,-36.045570373535156,74.3374252319336,681.2572021484375,9.179203033447266,154.1019744873047,45.44675064086914,25.20757293701172,77.53068542480469,680.7716674804688,11.044204711914062,10.428604125976562,Fixation
1,1,1333689468952,9.212181091308594,159.05413818359375,47.24919891357422,-36.02976989746094,74.32090759277344,681.1043701171875,8.936577796936035,153.54824829101562,45.245235443115234,25.215652465820312,77.51738739013672,680.6805419921875,11.108474731445312,10.598114013671877,Fixation
