device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
5468511601,628376656505,"(0.6207292079925537, 1.042729139328003)","(67.00466918945312, -4.416351318359375, -12.24917984008789)",1,3.5878753662109375,1,"(-5.034528732299805, 54.97937774658203, 653.2066040039062)",1,"(0.6152505874633789, 1.0724375247955322)","(63.96403884887695, -13.131610870361328, -15.421257972717285)",1,3.447479248046875,1,"(55.773109436035156, 54.07086181640625, 655.0289306640625)",1,1742470167065,9.6143798828125,8.948501586914062
5468528267,628376673221,"(0.6202021837234497, 1.038332223892212)","(66.71217346191406, -3.126488208770752, -11.779733657836914)",1,3.594390869140625,1,"(-5.0236358642578125, 54.87744903564453, 653.4432373046875)",1,"(0.6135752201080322, 1.060787558555603)","(63.03422927856445, -9.713985443115234, -14.17735481262207)",1,3.439788818359375,1,"(55.809112548828125, 54.01837158203125, 655.334228515625)",1,1742470167081,9.901016235351562,9.32379150390625
5468544934,628376689942,"(0.6162788271903992, 1.0316240787506104)","(64.53471374511719, -1.158606767654419, -11.063496589660645)",1,3.5760345458984375,1,"(-4.980568885803223, 54.837852478027344, 653.609375)",1,"(0.6065265536308289, 1.06006920337677)","(59.1222038269043, -9.50324821472168, -14.10065746307373)",1,3.457244873046875,1,"(55.843177795410156, 54.022010803222656, 655.4956665039062)",1,1742470167100,10.245071411132812,9.182296752929688
5468561606,628376706667,"(0.5888181924819946, 0.9253801703453064)","(49.29404830932617, 30.009166717529297, 0.28065255284309387)",1,3.634521484375,1,"(-4.962084770202637, 55.08194351196289, 653.7393798828125)",1,"(0.5999926328659058, 0.9667051434516907)","(55.49587631225586, 17.886062622070312, -4.131781101226807)",1,3.440032958984375,1,"(55.76593780517578, 54.279052734375, 655.4744262695312)",1,1742470167115,9.821990966796875,9.197189331054688
5468578272,628376723334,"(0.5810253620147705, 0.8916037082672119)","(44.969032287597656, 39.917823791503906, 3.887139081954956)",1,3.615570068359375,1,"(-4.875271320343018, 55.40165328979492, 654.0008544921875)",1,"(0.5884608030319214, 0.9171347618103027)","(49.09571075439453, 32.428043365478516, 1.1610586643218994)",1,3.4513702392578125,1,"(55.75440216064453, 54.5706787109375, 655.5738525390625)",1,1742470167134,10.335037231445312,9.313674926757812
5468594938,628376740002,"(0.5814377069473267, 0.867165744304657)","(45.19788360595703, 47.08696365356445, 6.496456146240234)",1,3.6066741943359375,1,"(-4.7607102394104, 55.49374771118164, 653.76611328125)",1,"(0.590316653251648, 0.8963972330093384)","(50.125694274902344, 38.51161193847656, 3.3752996921539307)",1,3.4592742919921875,1,"(55.868186950683594, 54.7110710144043, 655.8412475585938)",1,1742470167149,9.943817138671875,8.838287353515625
5468611605,628376756670,"(0.5828601717948914, 0.8646425604820251)","(45.987335205078125, 47.827186584472656, 6.765878677368164)",1,3.61920166015625,1,"(-4.714211463928223, 55.55963897705078, 654.0155029296875)",1,"(0.5917963981628418, 0.9027336835861206)","(50.94695281982422, 36.65275955200195, 2.698734760284424)",1,3.4554595947265625,1,"(55.980079650878906, 54.758872985839844, 655.8212280273438)",1,1742470167165,10.113967895507812,9.304061889648438
5468628272,628376773338,"(0.586918294429779, 0.8713778257369995)","(48.23963165283203, 45.851318359375, 6.046727180480957)",1,3.6204681396484375,1,"(-4.642331123352051, 55.608280181884766, 654.039794921875)",1,"(0.58875972032547, 0.8970391154289246)","(49.26161193847656, 38.32330322265625, 3.3067543506622314)",1,3.46685791015625,1,"(56.08207702636719, 54.795738220214844, 655.8657836914062)",1,1742470167181,10.24017333984375,9.658859252929688
5468644939,628376790007,"(0.570494532585144, 0.8057927489280701)","(39.124427795410156, 65.09136962890625, 13.049534797668457)",1,3.6073150634765625,1,"(-4.594306945800781, 55.804115295410156, 654.13427734375)",1,"(0.5796332359313965, 0.8296913504600525)","(44.196434020996094, 58.0804557800293, 10.497800827026367)",1,3.47344970703125,1,"(56.08066177368164, 55.02849578857422, 656.106689453125)",1,1742470167198,10.318267822265625,9.48284912109375
5468661605,628376806674,"(0.5533955693244934, 0.6552616953849792)","(29.63450813293457, 109.2511978149414, 29.12242889404297)",1,3.54864501953125,1,"(-4.453542232513428, 56.41584396362305, 654.633056640625)",1,"(0.5786402225494385, 0.6610473990440369)","(43.645301818847656, 107.55390930175781, 28.504636764526367)",1,3.411102294921875,1,"(55.915584564208984, 55.5391845703125, 656.0390625)",1,1742470167216,10.034576416015625,9.221817016601562
