device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
2132726949,497040196487,"(0.3315170109272003, 0.9129747748374939)","(-93.50807189941406, 33.64841842651367, 1.6052310466766357)",1,2.793121337890625,1,"(-41.301143646240234, 58.451698303222656, 672.6408081054688)",1,"(0.3180626928806305, 0.9249358773231506)","(-100.97522735595703, 30.13949966430664, 0.32813259959220886)",1,2.7116241455078125,1,"(19.610729217529297, 61.79100036621094, 673.2274169921875)",1,1742986638735,11.699569702148438,10.891815185546875
2132743616,497040213156,"(0.3348052203655243, 0.9016553163528442)","(-91.68311309814453, 36.96907424926758, 2.81386399269104)",1,2.7672271728515625,1,"(-41.287864685058594, 58.4261474609375, 672.6290283203125)",1,"(0.3117520809173584, 0.9247379302978516)","(-104.47760772705078, 30.19759750366211, 0.3491872251033783)",1,2.69720458984375,1,"(19.618165969848633, 61.7525634765625, 673.1267700195312)",1,1742986638751,11.48358154296875,10.726516723632812
2132760283,497040229825,"(0.3349194824695587, 0.893062174320221)","(-91.61969757080078, 39.4899787902832, 3.731391668319702)",1,2.7418060302734375,1,"(-41.281673431396484, 58.407230377197266, 672.654052734375)",1,"(0.3188501000404358, 0.9282487034797668)","(-100.53820037841797, 29.167665481567383, -0.02560114488005638)",1,2.745941162109375,1,"(19.620515823364258, 61.72258758544922, 673.0892333984375)",1,1742986638767,11.806564331054688,10.7998046875
2132776950,497040246482,"(0.33407899737358093, 0.9028439521789551)","(-92.0861587524414, 36.620399475097656, 2.6869404315948486)",1,2.760345458984375,1,"(-41.27372360229492, 58.38639831542969, 672.6407470703125)",1,"(0.3171457052230835, 0.9159252643585205)","(-101.48414611816406, 32.78284454345703, 1.290217638015747)",1,2.70709228515625,1,"(19.629837036132812, 61.70957565307617, 673.1885375976562)",1,1742986638786,11.828750610351562,10.79962158203125
2132793616,497040263136,"(0.3391297161579132, 0.9025964140892029)","(-89.28302764892578, 36.69300079345703, 2.713416337966919)",1,2.7572174072265625,1,"(-41.27095031738281, 58.377532958984375, 672.6287841796875)",1,"(0.3158223032951355, 0.9197187423706055)","(-102.2186508178711, 31.670024871826172, 0.885153591632843)",1,2.722991943359375,1,"(19.632659912109375, 61.706626892089844, 673.2389526367188)",1,1742986638803,11.849746704101562,10.932846069335938
2132810283,497040279790,"(0.33494654297828674, 0.898091733455658)","(-91.60467529296875, 38.01449966430664, 3.1943721771240234)",1,2.7684326171875,1,"(-41.27101516723633, 58.38507080078125, 672.616455078125)",1,"(0.3115485906600952, 0.9139356017112732)","(-104.59056091308594, 33.366554260253906, 1.5026416778564453)",1,2.720794677734375,1,"(19.628149032592773, 61.713958740234375, 673.1517333984375)",1,1742986638818,11.608505249023438,10.962066650390625
2132826950,497040296456,"(0.36178988218307495, 0.8530852794647217)","(-76.70662689208984, 51.21760559082031, 7.9999284744262695)",1,2.70391845703125,1,"(-41.142520904541016, 58.55675506591797, 672.4586181640625)",1,"(0.33457255363464355, 0.8759614825248718)","(-91.812255859375, 44.50667190551758, 5.557324409484863)",1,2.7193603515625,1,"(19.744224548339844, 61.89134216308594, 673.2572021484375)",1,1742986638835,11.755218505859375,10.622467041015625
2132843617,497040313124,"(0.38856491446495056, 0.6970993280410767)","(-61.846473693847656, 96.9776840209961, 24.65525245666504)",1,2.6881256103515625,1,"(-40.79507827758789, 59.06008529663086, 672.6412353515625)",1,"(0.3979971408843994, 0.6651779413223267)","(-56.611595153808594, 106.34215545654297, 28.063613891601562)",1,2.5246734619140625,1,"(19.874652862548828, 62.39813232421875, 673.3743896484375)",1,1742986638853,10.57110595703125,10.0867919921875
2132860283,497040329791,"(0.40269869565963745, 0.5907955169677734)","(-54.00225067138672, 128.16302490234375, 36.005733489990234)",1,2.66064453125,1,"(-40.598731994628906, 59.500274658203125, 672.77880859375)",1,"(0.41037970781326294, 0.5824313759803772)","(-49.73928451538086, 130.61672973632812, 36.8988037109375)",1,2.6345977783203125,1,"(19.940465927124023, 62.848793029785156, 673.8092651367188)",1,1742986638869,11.64404296875,10.333709716796875
2132876952,497040346454,"(0.40625008940696716, 0.5921927690505981)","(-52.03121566772461, 127.75312042236328, 35.85655975341797)",1,2.7130279541015625,1,"(-40.612060546875, 59.50170135498047, 672.66455078125)",1,"(0.4083239734172821, 0.5936022996902466)","(-50.88020324707031, 127.3396224975586, 35.706031799316406)",1,2.6052093505859375,1,"(19.99544906616211, 62.788543701171875, 673.2416381835938)",1,1742986638886,10.9444580078125,10.518280029296875
