device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,left_eye_openness_value,right_eye_openness_value
3760271225,1335823445024,"(0.5938297510147095, 0.8711272478103638)","(52.075504302978516, 45.9248161315918, 6.07346773147583)",1,2.97100830078125,1,"(-26.03851890563965, 74.35154724121094, 693.9763793945312)",1,"(0.582449197769165, 0.8987255096435547)","(45.75929260253906, 37.82860565185547, 3.126682996749878)",1,2.8739776611328125,1,"(34.629310607910156, 77.90667724609375, 692.8065185546875)",1,9.606948852539062,9.350296020507812
3760287892,1335823461692,"(0.5936955213546753, 0.8624374866485596)","(52.00096893310547, 48.47403335571289, 7.001371383666992)",1,2.9864044189453125,1,"(-26.089101791381836, 74.28874206542969, 693.8789672851562)",1,"(0.5773459672927856, 0.9041107892990112)","(42.926979064941406, 36.24876022338867, 2.551671266555786)",1,2.8848419189453125,1,"(34.61743927001953, 77.88511657714844, 692.660400390625)",1,9.688674926757812,9.247894287109375
3760304559,1335823478360,"(0.5877662301063538, 0.8776960968971252)","(48.71025085449219, 43.997806549072266, 5.372076988220215)",1,2.950439453125,1,"(-26.130617141723633, 74.25424194335938, 693.5955810546875)",1,"(0.5778908729553223, 0.8931207656860352)","(43.22939682006836, 39.472801208496094, 3.7251086235046387)",1,2.879852294921875,1,"(34.597755432128906, 77.87115478515625, 692.4768676757812)",1,9.851242065429688,9.222381591796875
3760321226,1335823495028,"(0.5953241586685181, 0.8734717965126038)","(52.90486145019531, 45.237022399902344, 5.823182106018066)",1,2.9656982421875,1,"(-26.208637237548828, 74.25216674804688, 693.6422729492188)",1,"(0.590197741985321, 0.8879996538162231)","(50.05973434448242, 40.97514724731445, 4.27194356918335)",1,2.887603759765625,1,"(34.58324432373047, 77.86431884765625, 692.3590698242188)",1,9.982772827148438,9.48779296875
3760337892,1335823511693,"(0.5950301885604858, 0.8711854219436646)","(52.741729736328125, 45.90774154663086, 6.067281723022461)",1,2.974029541015625,1,"(-26.248077392578125, 74.29998779296875, 693.8776245117188)",1,"(0.5832975506782532, 0.8914462924003601)","(46.23008346557617, 39.964012145996094, 3.9039528369903564)",1,2.8839569091796875,1,"(34.585899353027344, 77.8823471069336, 692.371337890625)",1,10.059616088867188,9.60394287109375
3760354559,1335823528352,"(0.588895320892334, 0.8760040998458862)","(49.336875915527344, 44.49416732788086, 5.552739143371582)",1,2.968292236328125,1,"(-26.25518798828125, 74.33219909667969, 693.851806640625)",1,"(0.5821837186813354, 0.8884754180908203)","(45.6119270324707, 40.83554458618164, 4.221145153045654)",1,2.936553955078125,1,"(34.61217498779297, 77.91481018066406, 692.50048828125)",1,10.063430786132812,9.654983520507812
3760371226,1335823545011,"(0.594262957572937, 0.8824692368507385)","(52.3159065246582, 42.597537994384766, 4.862522602081299)",1,2.9892425537109375,1,"(-26.244029998779297, 74.33233642578125, 693.7725830078125)",1,"(0.5857336521148682, 0.8993211388587952)","(47.58214569091797, 37.65383529663086, 3.0630998611450195)",1,2.9142303466796875,1,"(34.65700149536133, 77.95237731933594, 692.7494506835938)",1,10.220626831054688,9.583358764648438
3760387892,1335823561670,"(0.5902565717697144, 0.88028883934021)","(50.092376708984375, 43.2371826171875, 5.095247745513916)",1,3.0035247802734375,1,"(-26.215740203857422, 74.31854248046875, 693.694580078125)",1,"(0.581031322479248, 0.8984938859939575)","(44.972373962402344, 37.89651107788086, 3.1514556407928467)",1,2.9063720703125,1,"(34.701072692871094, 77.94110107421875, 692.69189453125)",1,10.164413452148438,9.740615844726562
3760404559,1335823578338,"(0.5914808511734009, 0.8759976029396057)","(50.771846771240234, 44.496036529541016, 5.553475379943848)",1,2.962310791015625,1,"(-26.168481826782227, 74.27212524414062, 693.5525512695312)",1,"(0.5782678723335266, 0.8958443999290466)","(43.43863296508789, 38.673805236816406, 3.434324026107788)",1,2.904022216796875,1,"(34.745418548583984, 77.86085510253906, 692.2476196289062)",1,10.378738403320312,9.948867797851562
3760421228,1335823595007,"(0.5849202871322632, 0.889716625213623)","(47.13070297241211, 40.47144317626953, 4.088626861572266)",1,2.997344970703125,1,"(-26.087203979492188, 74.23628997802734, 693.7313232421875)",1,"(0.580832839012146, 0.9160219430923462)","(44.86220932006836, 32.754493713378906, 1.2798906564712524)",1,2.9131622314453125,1,"(34.75348663330078, 77.79573059082031, 691.9810791015625)",1,10.402908325195312,10.00408935546875
